CAR_SELL_NO,CAR_ID,CAR_SELL_EA,CAR_SELL_PRICE,CAR_SELL_DATE
2870,X689604228,38,987533,2023-11-01
2871,D713465797,23,70557,2023-12-06
2872,H881283447,14,1108806,2024-05-12
2873,A160956704,9,536935,2024-01-15
2874,D322352775,6,532461,2023-12-17
2875,L216376227,22,881132,2024-01-04
2876,N901464701,23,1299512,2024-07-26
2877,D032968122,30,712811,2024-04-26
2878,S708383673,45,660922,2024-04-20
2879,H193506699,38,1329186,2024-04-20
2880,R577002449,25,212816,2024-01-10
2881,J041212491,11,1143613,2024-07-10
2882,C486846826,25,1147788,2024-10-07
2883,I251777466,30,180599,2024-02-12
2884,D835323313,46,1349539,2024-02-20
2885,J418528018,10,674192,2024-08-09
2886,Z705795367,38,823528,2023-10-25
2887,C387073747,46,586358,2024-05-14
2888,L973840961,2,285285,2024-05-12
2889,F547931235,10,921112,2024-04-12
2890,H190138946,5,1427246,2024-04-28
2891,U423879924,25,667833,2024-01-10
2892,I410742576,4,259490,2023-10-20
2893,G097702268,12,924542,2024-07-13
2894,Z279109526,25,1024140,2024-03-09
2895,A271805116,36,685392,2024-06-06
2896,K240079292,41,1438663,2024-02-15
2897,U619940269,12,1433926,2024-02-10
2898,B105119426,19,435202,2024-08-08
2899,P572421663,6,1264069,2024-06-17
2900,P293629358,4,1315298,2024-06-05
2901,Z573767029,42,502898,2024-01-08
2902,V970363684,49,624735,2023-12-26
2903,H874254238,12,911969,2024-05-30
2904,G068143645,4,683024,2024-02-05
2905,P112906744,20,46455,2023-10-27
2906,L952814891,38,1005134,2024-02-05
2907,B009081501,46,693424,2024-06-07
2908,W897673927,32,1318985,2024-01-08
2909,C381179644,1,436113,2023-11-10
2910,U619940269,16,1225103,2023-10-23
2911,M121893106,45,1177228,2024-05-17
2912,J531483354,42,1428098,2023-12-13
2913,B009081501,15,264289,2024-06-09
2914,E682098546,49,637285,2024-03-24
2915,H046103017,21,129086,2024-09-11
2916,L216376227,13,152164,2024-06-29
2917,C381179644,19,1352154,2024-03-06
2918,I047769063,46,178924,2024-06-07
2919,L227364339,20,357717,2024-05-14
2920,T049709082,5,627441,2024-05-21
2921,M295777717,32,44017,2024-04-12
2922,W498388902,36,662262,2023-11-25
2923,U083696056,30,747321,2023-12-22
2924,Z883360787,22,405310,2023-11-02
2925,N851216128,27,973595,2024-04-08
2926,W482750447,48,317039,2024-05-10
2927,Z343039812,39,1342517,2024-03-02
2928,Y863676763,42,52881,2024-04-23
2929,W857201084,6,582834,2023-12-17
2930,F031011946,29,1296007,2024-07-13
2931,G566683705,38,1310494,2023-12-01
2932,Q479347540,40,96928,2024-06-01
2933,Z589790626,18,733469,2023-11-29
2934,X258798060,9,565459,2024-05-05
2935,J459695717,46,153279,2024-02-15
2936,R072011682,49,751355,2023-11-09
2937,Z227905721,14,407350,2024-09-02
2938,I478204120,22,698516,2023-11-19
2939,Z343039812,41,1310337,2024-08-24
2940,K267174796,45,148207,2023-11-28
2941,H718703782,7,610249,2023-11-19
2942,O474677895,12,1236703,2024-02-08
2943,F975295799,14,1351277,2023-10-27
2944,W521600648,24,1146148,2024-10-02
2945,G331029936,3,1429161,2024-04-15
2946,U852114824,9,480599,2023-12-21
2947,K480847414,31,841653,2023-12-10
2948,N108677844,40,1045571,2024-10-12
2949,Y677598346,43,74207,2023-11-24
2950,G345900593,43,581206,2024-05-20
2951,A616601188,44,810528,2023-12-29
2952,H046103017,7,1378081,2024-10-02
2953,Q314039308,33,1371100,2024-07-16
2954,G564981373,40,779253,2024-10-10
2955,P731637234,6,40635,2023-11-29
2956,W503511262,12,75811,2024-08-11
2957,Q465337521,12,433282,2024-02-20
2958,J555913705,20,1190789,2024-03-07
2959,P915230680,32,685744,2024-03-21
2960,W544842104,4,895159,2024-02-24
2961,P068080157,29,703115,2023-12-22
2962,T512271460,24,434879,2024-01-14
2963,O214107550,9,58740,2024-03-04
2964,O106134442,1,463435,2023-12-13
2965,E760464132,34,266888,2023-12-28
2966,N542134164,24,961453,2024-06-27
2967,X929913025,21,1289118,2024-08-05
2968,C387073747,11,1227379,2024-01-06
2969,I721757765,15,416195,2024-01-23
2970,T004746867,6,1270764,2024-03-17
2971,E868627930,34,1444445,2024-08-16
2972,V341363800,48,91682,2024-02-07
2973,H388880746,3,943035,2024-08-09
2974,N957741097,21,821551,2023-11-24
2975,M936349617,18,732444,2024-02-19
2976,E760464132,6,1467444,2024-02-22
2977,J208362703,41,705884,2024-07-27
2978,W503511262,22,336900,2024-03-03
2979,X202571655,23,312042,2023-10-28
2980,E682098546,25,675272,2024-01-15
2981,T461362768,30,124306,2024-04-09
2982,R646351455,26,1281382,2023-11-20
2983,O017734215,10,1376348,2024-08-11
2984,S944798077,40,688296,2024-08-14
2985,Z474376624,33,769862,2023-11-28
2986,Q580534896,13,415429,2024-01-04
2987,V636484997,1,755428,2023-11-09
2988,O428700244,33,585039,2024-06-17
2989,F707428726,38,936183,2024-03-05
2990,E109539774,38,675451,2024-05-17
2991,V449805327,14,1097794,2024-05-03
2992,F639289905,34,405578,2024-04-20
2993,V450960099,19,995545,2024-08-17
2994,N249521978,46,197766,2024-01-23
2995,X839816297,16,361501,2024-06-12
2996,E393636788,11,1390218,2023-12-17
2997,S924542778,26,973358,2023-12-19
2998,E390721603,15,1028201,2024-10-03
2999,V654023874,46,1496842,2024-02-23
3000,J025614014,26,1188753,2024-08-30
3001,E275216887,13,813037,2024-04-11
3002,L610677602,16,457035,2024-05-13
3003,E868627930,46,308027,2024-02-17
3004,M031182051,28,219628,2023-10-28
3005,M295777717,3,1355651,2023-10-25
3006,A741260267,22,1332993,2023-11-13
3007,A464492485,20,895451,2024-09-01
3008,B448907928,33,196429,2023-11-02
3009,C647360869,38,1162160,2024-03-16
3010,B280839011,9,56497,2024-08-28
3011,A522201349,12,1329600,2024-02-03
3012,R072011682,21,1099744,2024-01-06
3013,E367889457,5,656580,2024-09-29
3014,E868627930,1,541956,2024-03-21
3015,T132524255,17,712228,2023-12-10
3016,H868977593,44,777601,2024-05-18
3017,G775348777,13,101267,2024-01-11
3018,Y607686841,37,1116777,2024-06-25
3019,G130724118,18,1053242,2024-03-09
3020,U275027785,48,1243011,2024-08-26
3021,U083696056,41,411198,2024-05-29
3022,P731637234,28,93657,2024-04-03
3023,W521600648,39,101131,2024-05-08
3024,N799018644,38,886316,2024-02-28
3025,I721757765,42,49668,2024-02-25
3026,F739420249,35,809946,2024-09-18
3027,G342174882,34,1190399,2024-04-21
3028,O429949745,27,293325,2024-01-14
3029,A565282223,1,182358,2024-02-23
3030,H712081950,16,688902,2023-12-23
3031,F816983585,23,1017832,2024-03-06
3032,V450960099,46,550343,2024-03-04
3033,Y608546188,38,1253851,2024-09-25
3034,R343248330,19,203729,2024-01-20
3035,Z589790626,32,388736,2024-01-19
3036,T227878931,24,671759,2023-12-19
3037,Q341746900,8,1298439,2024-08-13
3038,P406840697,46,792172,2024-03-17
3039,B895279664,15,1346964,2024-01-27
3040,E109539774,14,133892,2023-10-23
3041,X557763794,10,1155929,2024-03-11
3042,V792244139,9,468490,2024-08-07
3043,I478204120,43,1080682,2024-03-13
3044,Q123892172,28,788544,2023-11-08
3045,J491678908,41,774056,2024-06-02
3046,Z316352447,48,1308237,2023-12-14
3047,U916009370,24,857202,2024-04-29
3048,C147830780,7,734952,2023-10-23
3049,N673122116,14,96319,2024-08-02
3050,A859892361,23,220906,2024-04-30
3051,U996358398,37,134163,2024-02-26
3052,R785463308,45,877240,2023-11-18
3053,C519832744,32,647255,2024-09-17
3054,U478759633,6,1004518,2023-11-17
3055,X249444298,16,1371149,2024-01-30
3056,C674997938,19,1205037,2024-04-12
3057,T904698114,20,947202,2023-11-12
3058,T624663533,14,60133,2024-08-16
3059,C703205761,43,777519,2024-06-24
3060,B448907928,23,547458,2024-03-21
3061,J939834447,8,651174,2024-09-17
3062,G698078791,37,593002,2024-03-31
3063,Z427027311,44,124691,2024-09-04
3064,G331029936,12,24873,2024-03-25
3065,V654023874,47,1313434,2024-06-24
3066,K240079292,33,777890,2024-06-21
3067,U852114824,25,805076,2024-06-13
3068,D054059413,13,723039,2023-10-31
3069,G265088497,39,1333812,2024-09-07
